Romana,English
abordare,approach
accident,accident
adversar,opponent
aeronavă,aircraft
amenințare,threat
angajament,commitment
antrenament,training
aprovizionare,supply
arbitru,referee
argument,argument
asumare,assumption
atac,attack
atenționare,alert
autorizare,authorization
avansat,advanced
bănuială,suspicion
beneficiu,benefit
campanie,campaign
capacitate,capacity
caracteristică,feature
cercetare,research
circumstanță,circumstance
colaborare,collaboration
comercial,commercial
comportament,behavior
compromis,compromise
concentrare,concentration
condiție,condition
confirmare,confirmation
confruntare,confrontation
consecință,consequence
convenabil,convenient
coordonare,coordination
corectare,correction
credibilitate,credibility
cunoștințe,knowledge
decizie,decision
declarație,statement
deficiență,deficiency
deliberare,deliberation
descoperire,discovery
determinare,determination
dezamăgire,disappointment
dezvoltare,development
diferențiere,differentiation
disponibilitate,availability
distribuire,distribution
documentație,documentation
echilibru,balance
eficiență,efficiency
elaborare,elaboration
evaluare,evaluation
excepțional,exceptional
exercitare,exercise
experiență,experience
explorare,exploration
facilitare,facilitation
falsificare,forgery
fascinant,fascinating
funcționalitate,functionality
generare,generation
identificare,identification
ilustrație,illustration
implicație,implication
independență,independence
indicație,indication
inevitabil,inevitable
influență,influence
inițiativă,initiative
inovație,innovation
instabilitate,instability
intensificare,intensification
interacțiune,interaction
interpretare,interpretation
investigare,investigation
justificare,justification
limitat,limited
manipulare,manipulation
motivare,motivation
navigație,navigation
negociere,negotiation
obiectivitate,objectivity
observație,observation
opțiune,option
orientare,orientation
participare,participation
perseverență,perseverance
perturbare,disruption
planificare,planning
precizare,specification
predicție,prediction
prezentare,presentation
prioritate,priority
procesare,processing
producție,production
progres,progress
promovare,promotion
provocare,challenge
publicație,publication
recunoaștere,recognition
reglementare,regulation
reproducere,reproduction
