Romana,English
parte,part
istorie,history
căuta,search
numai,only
poliție,police
gândeam,thought
ajutor,help
cerere,request
fel,kind
lună,month
frate,brother
lăsa,let
pentru că,because
a pune,to put
niciun,no
lesă,leash
ei,them
oraș,city
fiecare,each
vorbit,speak
ajuns,come
ar trebui,should
bebeluș,baby
mult timp,long time
ore,hours
vor,will
în timp ce,while
revedea,meet again
niciuna,any
piață,square
vorbesc,speak
înțeles,understood
știam,knew
erau,were
atenție,Warning
iată,here is
aș putea,could
afacere,case
da,give
tip,type
lor,their
dat,given
tren,train
corp,body
loc,place
ochi,eyes
mod,way
ascultă,listen
al cărui,whose
găsește,find
primul,first
pierdut,lost
mână,hand
prima,first
parte,side
putere,power
bătrân,old
fii,be
poftim,here
dimineață,morning
atât de mult,so much
copil,child
punct,point
venit,came
după,after
scuze,sorry
veniți,come
în fața,in front of
către,towards
minute,minutes
cerut,request
cameră,bedroom
pus,placed
frumoasă,beautiful
drept,law
aș dori,would like to
astăzi,today
soț,husband
cauză,cause
în sfârșit,finally
sper,hope
apă,water
așteptați,Wait
plecat,left
nou,new
serviciu,job
opri,Stop
ar spune,would say
pământ,Earth
cont,account
dat,given
departe,far
final,end
crede,believe
dragă,sweetheart
mare,large
mai degrabă,rather
va avea,will have
fete,girls
a juca,to play
birou,office
